loc,comment_lines,blank_lines,cyclomatic_complexity,halstead_volume,halstead_difficulty,maintainability_index,num_methods,num_classes,coupling,cohesion,inheritance_depth,num_children,weighted_methods_per_class,response_for_class,lack_of_cohesion,code_churn,num_commits,num_authors,file_age_days,num_revisions,num_bugs_historical,num_bug_fixes,test_coverage,comment_ratio,duplicate_code_ratio,fan_in,fan_out,num_dependencies,defect,complexity_per_loc,bug_density,churn_per_commit
243,50,22,13,558.2582813123857,9.828698244751521,26.843848842452182,8,4,5,0.591520906683362,1,0,12,14,0.2693989854421736,47,16,3,258,9,3,1,84.98965085275428,0.48703968780571555,0.08779005046949112,4,1,8,0,0.05327868852459016,12.295081967213115,2.764705882352941
129,135,15,4,949.0688341064142,11.990232143359105,47.79229978440996,7,5,3,0.49785400261512186,0,1,19,11,0.07714831068978997,56,23,3,337,16,6,0,56.637789081480484,0.11214612823374011,0.2502638764828357,1,3,4,1,0.03076923076923077,46.15384615384615,2.3333333333333335
283,4,7,3,496.49830967598115,6.261036887699044,56.72788933156711,7,4,3,0.8490719865311225,3,2,13,20,0.19730469357011432,73,29,3,141,17,1,1,67.85243489451453,0.10739387122692835,0.002265384477425535,3,4,11,1,0.01056338028169014,3.5211267605633805,2.433333333333333
680,35,4,7,805.9635114765546,5.44055801963588,100.0,8,2,5,0.9606233825039723,5,1,7,10,0.4255238850593484,37,18,2,102,18,3,0,73.19615310982284,0.402513740340232,0.041769669293726865,3,3,7,0,0.010279001468428781,4.405286343612335,1.9473684210526316
117,10,12,6,165.0725927231457,4.294884815163131,76.13106249067516,9,3,4,0.7113846028195265,1,2,21,10,0.24147407240899285,48,21,2,495,14,1,0,26.72248940952121,0.2933017244415283,0.12013274359758026,4,4,8,0,0.05084745762711865,8.474576271186441,2.1818181818181817
117,12,10,5,1357.3556451050868,4.890500915805444,38.290368618002184,14,5,3,0.784998904363231,4,1,11,11,0.14081799368786657,52,19,4,53,19,3,2,39.35954512304753,0.29657401561275365,0.2101649318562312,4,1,6,1,0.0423728813559322,25.423728813559325,2.6
719,11,15,12,1097.9559198002808,32.28320779885005,74.72072578835274,12,4,4,0.8702697415091903,2,1,12,13,0.08610855991494965,49,28,1,60,16,1,2,74.10671911660127,0.293180993036094,0.057951118316086576,5,2,7,0,0.016666666666666666,1.3888888888888888,1.6896551724137931
319,8,12,15,484.4001730533222,13.767899927093337,34.05392022123269,9,2,2,0.8086133614005345,2,0,13,10,0.45080357452381514,36,25,3,90,22,3,1,42.901172613085265,0.1258750374163542,0.2406172042667002,2,5,2,1,0.046875,9.375,1.3846153846153846
92,21,17,7,2120.15752347664,3.7601649153146646,86.65382107774147,9,8,6,0.6112915632639639,3,1,14,14,0.42527414450415135,48,28,4,393,7,2,0,89.51798127078814,0.535540133785156,0.038231266038726675,1,3,6,0,0.07526881720430108,21.505376344086024,1.6551724137931034
255,8,4,24,2800.5472895769317,3.814352866434623,55.57750696364243,12,3,7,0.9154566183044163,2,0,16,17,0.6148729301410637,53,20,5,559,10,4,1,54.92436396130821,0.1652726163581611,0.1545378684015548,1,3,3,1,0.09375,15.625,2.5238095238095237
93,26,21,2,219.73892467380205,9.402099645343235,63.12727622521658,6,6,3,0.6369934853878186,4,1,11,16,0.11714971777962145,43,25,6,50,16,2,1,93.2711322141117,0.15784207454043794,0.06542323242016587,3,5,6,1,0.02127659574468085,21.27659574468085,1.6538461538461537
93,19,8,6,511.46298717474974,9.714624190844793,91.5159329508438,7,7,5,0.9012340051328862,2,1,16,13,0.4496559837751105,42,26,1,399,12,2,0,48.880646320974044,0.33981940328378607,0.021988609744164524,4,3,6,1,0.06382978723404255,21.27659574468085,1.5555555555555556
189,15,38,4,508.1911468909112,9.722491547368316,39.256728628315,12,2,4,0.6477754454915716,7,2,17,11,0.0789640487454933,52,25,3,60,14,1,2,78.80283273198881,0.4109320081358474,0.07422187643293629,5,2,3,1,0.021052631578947368,5.263157894736842,2.0
21,8,4,1,428.41694797526634,6.504681205949641,37.057636297740174,9,1,6,0.6566008426095721,1,0,14,9,0.20247970859567826,46,18,3,706,22,0,2,51.76773916202799,0.22547704922517978,0.17522252326964854,6,6,9,0,0.045454545454545456,0.0,2.4210526315789473
26,11,29,6,2513.608984704291,6.939799405529125,53.328013473079906,11,3,6,0.426724072060294,2,2,16,13,0.3040507720626174,45,20,2,182,18,1,4,63.6101401175179,0.12815459297244783,0.022927279804921794,5,7,3,0,0.2222222222222222,37.03703703703704,2.142857142857143
84,42,8,6,903.4076229274073,8.705367261769299,85.76757702038633,6,4,2,0.6828627646214336,3,1,12,13,0.4291184811554732,41,22,1,2,8,3,0,67.05800936557341,0.16781076170007686,0.04235314412155401,2,3,6,0,0.07058823529411765,35.294117647058826,1.7826086956521738
53,33,4,24,841.7517682224842,7.713303020372737,34.613078490463145,10,6,2,0.7394355946685628,1,1,14,9,0.08567129264048551,57,16,2,7,22,1,0,68.23805479144002,0.2390338916585785,0.059103822976086316,4,4,5,1,0.4444444444444444,18.51851851851852,3.3529411764705883
203,7,5,12,147.84103897879996,2.435981641833801,8.356888037788606,7,1,5,0.8618917387024866,1,0,16,12,0.6129403488114324,64,20,4,32,9,3,3,74.82599838596691,0.3338179777733217,0.02191287127057706,3,8,2,1,0.058823529411764705,14.705882352941176,3.0476190476190474
59,22,5,3,2070.2362914614746,6.587014327095273,55.97682283182002,13,1,2,0.8796194183794891,3,1,17,14,0.27019975326494855,44,24,2,42,18,2,0,55.5439619786454,0.1603738664598382,0.24877365323031284,3,5,6,0,0.05,33.333333333333336,1.76
36,42,10,32,317.58376336072496,4.827345752008611,76.0348159982184,7,4,7,0.742715062013591,2,2,12,16,0.1181680193265871,48,22,3,292,13,2,2,62.6556693482915,0.8359192541149242,0.03868028248373505,4,1,6,1,0.8648648648648649,54.054054054054056,2.0869565217391304
642,3,11,19,1164.366720054574,8.06558068378243,89.00523499477659,11,5,4,0.5550508269646427,1,0,11,8,0.34499303976417234,48,19,1,51,15,3,0,67.27948498734247,0.5796784116297092,0.002792032099820343,1,4,4,1,0.029548989113530325,4.665629860031105,2.4
118,34,4,11,1447.18698086951,32.87227184337948,55.73677275829202,12,4,5,0.8982041530413053,4,3,19,10,0.5158014863048007,37,17,3,696,10,3,1,58.04511186751683,0.25697132839245423,0.14823109879209478,1,4,8,0,0.09243697478991597,25.210084033613445,2.0555555555555554
158,10,7,6,4275.509672229349,8.879460784881582,56.77146785767995,10,5,7,0.4617016665007685,2,0,11,22,0.20954349883611875,53,20,5,203,16,3,3,59.33811848326647,0.1264131982116321,0.006584063637870677,6,5,2,1,0.03773584905660377,18.867924528301884,2.5238095238095237
35,35,41,3,296.24286295881745,6.316941536418091,88.07801468511495,8,4,5,0.5670523990758247,1,3,17,8,0.256289599820403,69,18,2,236,20,0,1,81.53908428859081,0.10761015093170452,0.17970846344951802,1,4,6,0,0.08333333333333333,0.0,3.6315789473684212
86,9,29,5,53.54314857047292,11.71535941033633,27.605166006091586,11,6,7,0.7270016017653944,2,0,16,12,0.1079656988083178,52,14,3,50,12,1,2,73.73586264737416,0.5777163303593857,0.03059946156682792,2,2,7,1,0.05747126436781609,11.494252873563218,3.466666666666667
